
DisplayName                                                                                  DisplayVersion   Publisher
Microsoft.AspNetCore.Components.WebView.Maui (x64)                                           10.0.20.0        Micros...
Microsoft.AspNetCore.Components.WebView.Maui (x64)                                           9.0.82.0         Micros...
Microsoft.AspNetCore.Components.WebView.Maui (x64)                                           9.0.82.0         Micros...
Microsoft.iOS.Ref.net10.0_26.5 (x64)                                                         26.5.10284.0     Micros...
Microsoft.iOS.Ref.net9.0_18.5 (x64)                                                          18.5.9219.0      Micros...
Microsoft.iOS.Ref.net9.0_26.0 (x64)                                                          26.0.9752.0      Micros...
Microsoft.iOS.Runtime.ios.net10.0_26.5 (x64)                                                 26.5.10284.0     Micros...
Microsoft.iOS.Runtime.ios-arm64.net10.0_26.5 (x64)                                           26.5.10284.0     Micros...
Microsoft.iOS.Runtime.ios-arm64.net9.0_18.5 (x64)                                            18.5.9219.0      Micros...
Microsoft.iOS.Runtime.ios-arm64.net9.0_26.0 (x64)                                            26.0.9752.0      Micros...
Microsoft.iOS.Runtime.iossimulator-arm64.net10.0_26.5 (x64)                                  26.5.10284.0     Micros...
Microsoft.iOS.Runtime.iossimulator-arm64.net9.0_18.5 (x64)                                   18.5.9219.0      Micros...
Microsoft.iOS.Runtime.iossimulator-arm64.net9.0_26.0 (x64)                                   26.0.9752.0      Micros...
Microsoft.iOS.Runtime.iossimulator-x64.net10.0_26.5 (x64)                                    26.5.10284.0     Micros...
Microsoft.iOS.Runtime.iossimulator-x64.net9.0_18.5 (x64)                                     18.5.9219.0      Micros...
Microsoft.iOS.Runtime.iossimulator-x64.net9.0_26.0 (x64)                                     26.0.9752.0      Micros...
Microsoft.iOS.Sdk.net10.0_26.0 (x64)                                                         26.0.11017.0     Micros...
Microsoft.iOS.Sdk.net10.0_26.5 (x64)                                                         26.5.10284.0     Micros...
Microsoft.iOS.Sdk.net8.0_17.0 (x64)                                                          17.0.8523.0      Micros...
Microsoft.iOS.Sdk.net8.0_18.0 (x64)                                                          18.0.8324.0      Micros...
Microsoft.iOS.Sdk.net9.0_18.0 (x64)                                                          18.0.9617.0      Micros...
Microsoft.iOS.Sdk.net9.0_18.5 (x64)                                                          18.5.9219.0      Micros...
Microsoft.iOS.Sdk.net9.0_26.0 (x64)                                                          26.0.9752.0      Micros...
Microsoft.iOS.Sdk.net9.0_26.5 (x64)                                                          26.5.9002.0      Micros...
Microsoft.iOS.Templates (x64)                                                                26.0.9752.0      Micros...
Microsoft.iOS.Templates (x64)                                                                18.5.9219.0      Micros...
Microsoft.iOS.Templates (x64)                                                                26.5.10284.0     Micros...
Microsoft.iOS.Windows.Sdk.net10.0_26.0 (x64)                                                 26.0.11017.0     Micros...
Microsoft.iOS.Windows.Sdk.net10.0_26.5 (x64)                                                 26.5.10284.0     Micros...
Microsoft.iOS.Windows.Sdk.net8.0_17.0 (x64)                                                  17.0.8523.0      Micros...
Microsoft.iOS.Windows.Sdk.net8.0_18.0 (x64)                                                  18.0.8324.0      Micros...
Microsoft.iOS.Windows.Sdk.net9.0_18.0 (x64)                                                  18.0.9617.0      Micros...
Microsoft.iOS.Windows.Sdk.net9.0_18.5 (x64)                                                  18.5.9219.0      Micros...
Microsoft.iOS.Windows.Sdk.net9.0_26.0 (x64)                                                  26.0.9752.0      Micros...
Microsoft.iOS.Windows.Sdk.net9.0_26.5 (x64)                                                  26.5.9002.0      Micros...
Microsoft.MacCatalyst.Ref.net10.0_26.5 (x64)                                                 26.5.10284.0     Micros...
Microsoft.MacCatalyst.Ref.net9.0_18.5 (x64)                                                  18.5.9219.0      Micros...
Microsoft.MacCatalyst.Ref.net9.0_26.0 (x64)                                                  26.0.9752.0      Micros...
Microsoft.MacCatalyst.Runtime.maccatalyst.net10.0_26.5 (x64)                                 26.5.10284.0     Micros...
Microsoft.MacCatalyst.Runtime.maccatalyst-arm64.net10.0_26.5 (x64)                           26.5.10284.0     Micros...
Microsoft.MacCatalyst.Runtime.maccatalyst-arm64.net9.0_18.5 (x64)                            18.5.9219.0      Micros...
Microsoft.MacCatalyst.Runtime.maccatalyst-arm64.net9.0_26.0 (x64)                            26.0.9752.0      Micros...
Microsoft.MacCatalyst.Runtime.maccatalyst-x64.net10.0_26.5 (x64)                             26.5.10284.0     Micros...
Microsoft.MacCatalyst.Runtime.maccatalyst-x64.net9.0_18.5 (x64)                              18.5.9219.0      Micros...
Microsoft.MacCatalyst.Runtime.maccatalyst-x64.net9.0_26.0 (x64)                              26.0.9752.0      Micros...
Microsoft.MacCatalyst.Sdk.net10.0_26.0 (x64)                                                 26.0.11017.0     Micros...
Microsoft.MacCatalyst.Sdk.net10.0_26.5 (x64)                                                 26.5.10284.0     Micros...
Microsoft.MacCatalyst.Sdk.net8.0_17.0 (x64)                                                  17.0.8523.0      Micros...
Microsoft.MacCatalyst.Sdk.net8.0_18.0 (x64)                                                  18.0.8324.0      Micros...
Microsoft.MacCatalyst.Sdk.net9.0_18.0 (x64)                                                  18.0.9617.0      Micros...
Microsoft.MacCatalyst.Sdk.net9.0_18.5 (x64)                                                  18.5.9219.0      Micros...
Microsoft.MacCatalyst.Sdk.net9.0_26.0 (x64)                                                  26.0.9752.0      Micros...
Microsoft.MacCatalyst.Sdk.net9.0_26.5 (x64)                                                  26.5.9002.0      Micros...
Microsoft.MacCatalyst.Templates (x64)                                                        26.0.9752.0      Micros...
Microsoft.MacCatalyst.Templates (x64)                                                        26.5.10284.0     Micros...
Microsoft.MacCatalyst.Templates (x64)                                                        18.5.9219.0      Micros...
Microsoft.Maui.Controls (x64)                                                                9.0.111.0        Micros...
Microsoft.Maui.Controls (x64)                                                                9.0.82.0         Micros...
Microsoft.Maui.Controls (x64)                                                                9.0.82.0         Micros...
Microsoft.Maui.Controls (x64)                                                                10.0.20.0        Micros...
Microsoft.Maui.Controls.Build.Tasks (x64)                                                    9.0.82.0         Micros...
Microsoft.Maui.Controls.Build.Tasks (x64)                                                    9.0.82.0         Micros...
Microsoft.Maui.Controls.Build.Tasks (x64)                                                    10.0.20.0        Micros...
Microsoft.Maui.Controls.Build.Tasks (x64)                                                    9.0.111.0        Micros...
Microsoft.Maui.Controls.Compatibility (x64)                                                  9.0.111.0        Micros...
Microsoft.Maui.Controls.Compatibility (x64)                                                  9.0.82.0         Micros...
Microsoft.Maui.Controls.Compatibility (x64)                                                  9.0.82.0         Micros...
Microsoft.Maui.Controls.Core (x64)                                                           9.0.111.0        Micros...
Microsoft.Maui.Controls.Core (x64)                                                           9.0.82.0         Micros...
Microsoft.Maui.Controls.Core (x64)                                                           9.0.82.0         Micros...
Microsoft.Maui.Controls.Core (x64)                                                           10.0.20.0        Micros...
Microsoft.Maui.Controls.Xaml (x64)                                                           10.0.20.0        Micros...
Microsoft.Maui.Controls.Xaml (x64)                                                           9.0.82.0         Micros...
Microsoft.Maui.Controls.Xaml (x64)                                                           9.0.111.0        Micros...
Microsoft.Maui.Controls.Xaml (x64)                                                           9.0.82.0         Micros...
Microsoft.Maui.Core (x64)                                                                    9.0.111.0        Micros...
Microsoft.Maui.Core (x64)                                                                    9.0.82.0         Micros...
Microsoft.Maui.Core (x64)                                                                    9.0.82.0         Micros...
Microsoft.Maui.Core (x64)                                                                    10.0.20.0        Micros...
Microsoft.Maui.Essentials (x64)                                                              9.0.82.0         Micros...
Microsoft.Maui.Essentials (x64)                                                              9.0.82.0         Micros...
Microsoft.Maui.Essentials (x64)                                                              10.0.20.0        Micros...
Microsoft.Maui.Essentials (x64)                                                              9.0.111.0        Micros...
Microsoft.Maui.Graphics (x64)                                                                9.0.82.0         Micros...
Microsoft.Maui.Graphics (x64)                                                                9.0.82.0         Micros...
Microsoft.Maui.Graphics (x64)                                                                9.0.111.0        Micros...
Microsoft.Maui.Graphics (x64)                                                                10.0.20.0        Micros...
Microsoft.Maui.Graphics.Win2D.WinUI.Desktop (x64)                                            10.0.20.0        Micros...
Microsoft.Maui.Graphics.Win2D.WinUI.Desktop (x64)                                            9.0.82.0         Micros...
Microsoft.Maui.Graphics.Win2D.WinUI.Desktop (x64)                                            9.0.82.0         Micros...
Microsoft.Maui.Graphics.Win2D.WinUI.Desktop (x64)                                            9.0.111.0        Micros...
Microsoft.Maui.Resizetizer (x64)                                                             9.0.82.0         Micros...
Microsoft.Maui.Resizetizer (x64)                                                             9.0.82.0         Micros...
Microsoft.Maui.Resizetizer (x64)                                                             9.0.111.0        Micros...
Microsoft.Maui.Resizetizer (x64)                                                             10.0.20.0        Micros...
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                                             8.0.28.0         Micros...
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                                             8.0.21.0         Micros...
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                                             8.0.20.0         Micros...
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                                             9.0.9.0          Micros...
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                                             10.0.9.0         Micros...
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                                             9.0.10.0         Micros...
Microsoft.NET.Runtime.MonoAOTCompiler.Task (x64)                                             9.0.17.0         Micros...
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                                  8.0.21.0         Micros...
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                                  9.0.9.0          Micros...
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                                  9.0.10.0         Micros...
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                                  8.0.28.0         Micros...
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                                  10.0.9.0         Micros...
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                                  9.0.17.0         Micros...
Microsoft.NET.Runtime.MonoTargets.Sdk (x64)                                                  8.0.20.0         Micros...
Microsoft.NET.Sdk.Android.Manifest-10.0.100 (x64)                                            36.1.43          Micros...
Microsoft.NET.Sdk.Android.Manifest-6.0.300                                                   128.75.16384     Micros...
Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64)                                             33.0.4           Micros...
Microsoft.NET.Sdk.Android.Manifest-8.0.100 (x64)                                             34.0.43          Micros...
Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64)                                             35.0.101         Micros...
Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64)                                             35.0.78          Micros...
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)                                              64.136.23253     Micros...
Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)                                              64.0.5426        Micros...
Microsoft.NET.Sdk.iOS.Manifest-10.0.100 (x64)                                                255.225.10284    Micros...
Microsoft.NET.Sdk.iOS.Manifest-6.0.300                                                       125.191.42208    Micros...
Microsoft.NET.Sdk.iOS.Manifest-7.0.100 (x64)                                                 16.0.0           Micros...
Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)                                                 17.0.8478        Micros...
Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64)                                                 18.5.9219        Micros...
Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64)                                                 26.0.9752        Micros...
Microsoft.NET.Sdk.MacCatalyst.Manifest-10.0.100 (x64)                                        255.225.10284    Micros...
Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300                                               125.191.42208    Micros...
Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100 (x64)                                         15.4.0           Micros...
Microsoft.NET.Sdk.MacCatalyst.Manifest-8.0.100 (x64)                                         17.0.8478        Micros...
Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)                                         18.5.9219        Micros...
Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)                                         26.0.9752        Micros...
Microsoft.NET.Sdk.macOS.Manifest-10.0.100 (x64)                                              255.225.10284    Micros...
Microsoft.NET.Sdk.macOS.Manifest-6.0.300                                                     100.255.42208    Micros...
Microsoft.NET.Sdk.macOS.Manifest-7.0.100 (x64)                                               12.3.0           Micros...
Microsoft.NET.Sdk.macOS.Manifest-8.0.100 (x64)                                               14.0.8478        Micros...
Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)                                               26.0.9752        Micros...
Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)                                               15.5.9219        Micros...
Microsoft.NET.Sdk.Maui.Manifest-10.0.100 (x64)                                               10.0.20          Micros...
Microsoft.NET.Sdk.Maui.Manifest-6.0.300                                                      24.78.0          Micros...
Microsoft.NET.Sdk.Maui.Manifest-7.0.100 (x64)                                                7.0.49           Micros...
Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)                                                8.0.3            Micros...
Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)                                                9.0.111          Micros...
Microsoft.NET.Sdk.tvOS.Manifest-10.0.100 (x64)                                               255.225.10284    Micros...
Microsoft.NET.Sdk.tvOS.Manifest-6.0.300                                                      125.191.42208    Micros...
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100 (x64)                                                16.0.0           Micros...
Microsoft.NET.Sdk.tvOS.Manifest-8.0.100 (x64)                                                17.0.8478        Micros...
Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)                                                18.5.9219        Micros...
Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)                                                26.0.9752        Micros...
Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)                                     64.112.53442     Micros...
Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)                                     72.56.53443      Micros...
Microsoft.NET.Workload.Emscripten.Current.Manifest-10.0.100 (x64)                            81.180.53633     Micros...
Microsoft.NET.Workload.Emscripten.Manifest (x64)                                             48.144.23281     Micros...
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                                        72.56.53443      Micros...
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                                        64.112.53442     Micros...
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                                        56.80.15172      Micros...
Microsoft.NET.Workload.Emscripten.net6.Manifest-10.0.100 (x64)                               81.180.53633     Micros...
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                                        64.112.53442     Micros...
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                                        56.80.15172      Micros...
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)                                        72.56.53443      Micros...
Microsoft.NET.Workload.Emscripten.net7.Manifest-10.0.100 (x64)                               81.180.53633     Micros...
Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)                                        72.56.53443      Micros...
Microsoft.NET.Workload.Emscripten.net8.Manifest-10.0.100 (x64)                               81.180.53633     Micros...
Microsoft.NET.Workload.Emscripten.net9.Manifest-10.0.100 (x64)                               81.180.53633     Micros...
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)                                 64.112.53549     Micros...
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)                                 72.0.53536       Micros...
Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest-10.0.100 (x64)                        81.180.53633     Micros...
Microsoft.NET.Workload.Mono.Toolchain.Manifest                                               48.3.40665       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)                                    64.112.53549     Micros...
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)                                    72.0.53536       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)                                    56.80.15184      Micros...
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest-10.0.100 (x64)                           81.180.53633     Micros...
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)                                    72.0.53536       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)                                    56.80.15184      Micros...
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)                                    64.112.53549     Micros...
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest-10.0.100 (x64)                           81.180.53633     Micros...
Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)                                    72.0.53536       Micros...
Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest-10.0.100 (x64)                           81.180.53633     Micros...
Microsoft.NET.Workload.Mono.Toolchain.net9.Manifest-10.0.100 (x64)                           81.180.53633     Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)                            8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)                            8.0.28.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)                            9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)                            9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)                            10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)                            8.0.21.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm (x64)                            9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)                          8.0.28.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)                          9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)                          8.0.21.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)                          10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)                          8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)                          9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64 (x64)                          9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)                            10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)                            8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)                            9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)                            8.0.28.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)                            9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)                            8.0.21.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64 (x64)                            9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)                            8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)                            9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)                            8.0.28.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)                            8.0.21.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)                            9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)                            9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86 (x64)                            10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                                         9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                                         8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                                         9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                                         8.0.21.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                                         8.0.28.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                                         9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm (x64)                                         10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                                       9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                                       8.0.28.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                                       8.0.21.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                                       9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                                       8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                                       9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.android-arm64 (x64)                                       10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                                         9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                                         10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                                         9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                                         9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                                         8.0.28.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                                         8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x64 (x64)                                         8.0.21.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                                         8.0.28.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                                         9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                                         9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                                         8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                                         9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                                         10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.android-x86 (x64)                                         8.0.21.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)                                           10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)                                           8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)                                           9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)                                           9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.ios-arm64 (x64)                                           9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)                                  10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)                                  9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)                                  9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)                                  8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64 (x64)                                  9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)                                    9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)                                    9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)                                    10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)                                    8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64 (x64)                                    9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)                                   9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)                                   10.0.9.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)                                   9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)                                   8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64 (x64)                                   9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)                                     9.0.10.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)                                     8.0.20.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)                                     9.0.9.0          Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)                                     9.0.17.0         Micros...
Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64 (x64)                                     10.0.9.0         Micros...
MiniTool Partition Wizard Free 13.6                                                          13.6             MiniTo...
MiniTool ShadowMaker PW Edition                                                              4.8              MiniTo...
MongoDB 8.3.4 2008R2Plus SSL (64 bit)                                                        8.3.4            MongoD...
Mozilla Firefox ESR (x64 en-US)                                                              140.12.0         Mozilla  
Mozilla Maintenance Service                                                                  140.12.0         Mozilla  
Mozilla Thunderbird ESR (x64 es-ES)                                                          140.11.1         Mozilla  
MSI Development Tools                                                                        10.1.26100.8249  Micros...
MSI Development Tools                                                                        10.1.22621.5040  Micros...
MySQL Server 8.4                                                                             8.4.9            Oracle...
MySQL Workbench 8.0 CE                                                                       8.0.47           Oracle...
Node.js                                                                                      25.9.0           Node.j...
Notepad++ (64-bit x64)                                                                       8.9.6.4          Notepa...
NZXT CAM 4.75.7                                                                              4.75.7           NZXT, ...
OBS Studio                                                                                   32.1.2           OBS Pr...
Office 16 Click-to-Run Extensibility Component                                               16.0.20026.20076 Micros...
Office 16 Click-to-Run Localization Component                                                16.0.20026.20168 Micros...
Oh My Posh                                                                                   29.17.0          Jan De...
Open XML SDK 2.5 for Microsoft Office                                                        2.5.5631         Micros...
OpenSSL 4.0.1 Light (64-bit)                                                                 4.0.1            OpenSS...
Paint.NET                                                                                    5.1.12           dotPDN...
Paquete acumulativo de Intellisense de Microsoft .NET Framework para Visual Studio (español) 4.8.09037        Micros...
Paquete de compatibilidad de Microsoft .NET Framework 4.7.2 (español)                        4.7.03062        Micros...
Paquete de compatibilidad de Microsoft .NET Framework 4.8 (español)                          4.8.03761        Micros...
Paquete de idioma de Microsoft Visual Studio 2010 Tools para Office Runtime (x64) - ESN      10.0.60917       Micros...
Paquete de idioma de SQL Server Management Studio - Español                                  20.2.37.0        Micros...
Paquete de idioma de Visor de Ayuda de Microsoft 2.3 - ESN                                   2.3.28107        Micros...
Paquete de idioma de Visor de Ayuda de Microsoft 2.3 - ESN                                   2.3.28107        Micros...
PawnIO                                                                                       2.2.0.0          namazso  
PowerToys (Preview)                                                                          0.100.0          Micros...
Promontory_GPIO Driver                                                                       3.0.3.0          Advanc...
Proveedor OLE DB de Microsoft Analysis Services                                              16.0.5143.0      Micros...
Proveedor OLE DB de Microsoft Analysis Services                                              16.0.5143.0      Micros...
PuTTY release 0.84 (64-bit)                                                                  0.84.0.0         Simon ...
Python 3.13.14 Add to Path (64-bit)                                                          3.13.14150.0     Python...
Python 3.13.14 Core Interpreter (64-bit)                                                     3.13.14150.0     Python...
Python 3.13.14 Development Libraries (64-bit)                                                3.13.14150.0     Python...
Python 3.13.14 Documentation (64-bit)                                                        3.13.14150.0     Python...
Python 3.13.14 Executables (64-bit)                                                          3.13.14150.0     Python...
Python 3.13.14 pip Bootstrap (64-bit)                                                        3.13.14150.0     Python...
Python 3.13.14 Standard Library (64-bit)                                                     3.13.14150.0     Python...
Python 3.13.14 Tcl/Tk Support (64-bit)                                                       3.13.14150.0     Python...
Python 3.13.14 Test Suite (64-bit)                                                           3.13.14150.0     Python...
Python 3.14.6 Add to Path (64-bit)                                                           3.14.6150.0      Python...
Python 3.14.6 Core Interpreter (64-bit)                                                      3.14.6150.0      Python...
Python 3.14.6 Development Libraries (64-bit)                                                 3.14.6150.0      Python...
Python 3.14.6 Documentation (64-bit)                                                         3.14.6150.0      Python...
Python 3.14.6 Executables (64-bit)                                                           3.14.6150.0      Python...
